branch_id,branch_category,branch_name,kota,provinsi,rating
63116,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.7
31494,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Gorontalo,Gorontalo,4.6
27840,Apotek,Kimia Farma - Apotek,Denpasar,Bali,4.3
44209,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Cilacap,Jawa Tengah,4.5
73710,Apotek,Kimia Farma - Apotek,Probolinggo,Jawa Timur,4
27441,Apotek,Kimia Farma - Apotek,Lhokseumawe,Aceh,5
53586,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Sukabumi,Jawa Barat,4.6
18525,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Dumai,Riau,4.8
44784,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Banjarmasin,Kalimantan Selatan,4.2
89239,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Bitung,Sulawesi Utara,4.4
66462,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,4
95273,Apotek,Kimia Farma - Apotek,Pariaman,Sumatera Barat,3.9
87785,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Karawang,Jawa Barat,4.5
61998,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Padang,Sumatera Barat,3.9
48970,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,4.3
24143,Apotek,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4
69045,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,4.6
36486,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,4.7
44554,Apotek,Kimia Farma - Apotek,Tebing Tinggi,Sumatera Utara,5
79455,Apotek,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.8
64759,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tebing Tinggi,Sumatera Utara,5
73158,Apotek,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.7
15338,Apotek,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,3.9
46706,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.2
81599,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Lhokseumawe,Aceh,4.1
37402,Apotek,Kimia Farma - Apotek,Bekasi,Jawa Barat,3.9
14773,Apotek,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.7
79784,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tarakan,Kalimantan Utara,4.1
40682,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Gorontalo,Gorontalo,4.9
51224,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palembang,Sumatera Selatan,4.7
14957,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ciamis,Jawa Barat,4.8
45428,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tasikmalaya,Jawa Barat,4.6
99984,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Batam,Kepulauan Riau,4.4
12271,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Magelang,Jawa Tengah,4.3
14693,Apotek,Kimia Farma - Apotek,Karawang,Jawa Barat,3.9
36121,Apotek,Kimia Farma - Apotek,Bima,Nusa Tenggara Barat,4.9
43999,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kuningan,Jawa Barat,4.9
