product_id,product_name,product_category,price
KF162,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",M01AE,840200
KF374,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",R03,867500
KF801,"Other analgesics and antipyretics, Salicylic acid and derivatives",N05C,530300
KF519,"Other analgesics and antipyretics, Pyrazolones and Anilides",M01AE,626400
KF679,"Psycholeptics drugs, Anxiolytic drugs",M01AE,924800
KF260,"Other analgesics and antipyretics, Pyrazolones and Anilides",N05C,118700
KF152,Drugs for obstructive airway diseases,N05B,636200
KF425,"Psycholeptics drugs, Anxiolytic drugs",N05C,102100
KF151,"Other analgesics and antipyretics, Pyrazolones and Anilides",N02BE/B,723800
KF498,Drugs for obstructive airway diseases,N05C,178600
KF378,Drugs for obstructive airway diseases,R03,283100
KF289,"Psycholeptics drugs, Hypnotics and sedatives drugs",M01AE,695100
KF751,"Other analgesics and antipyretics, Pyrazolones and Anilides",N05C,757900
KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",N05B,638700
KF157,"Psycholeptics drugs, Anxiolytic drugs",N05B,523100
KF678,"Psycholeptics drugs, Hypnotics and sedatives drugs",N05B,426700
KF977,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",N05C,986400
KF808,"Psycholeptics drugs, Anxiolytic drugs",M01AE,158900
KF505,"Psycholeptics drugs, Hypnotics and sedatives drugs",R06,454900
KF576,"Other analgesics and antipyretics, Salicylic acid and derivatives",M01AE,353300
KF166,"Psycholeptics drugs, Anxiolytic drugs",N02BA,823800
KF696,"Other analgesics and antipyretics, Pyrazolones and Anilides",R06,125100
KF294,Antihistamines for systemic use,M01AE,455900
KF955,"Psycholeptics drugs, Hypnotics and sedatives drugs",R06,51200
KF513,"Psycholeptics drugs, Hypnotics and sedatives drugs",R03,665800
KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",R06,251700
KF853,"Psycholeptics drugs, Hypnotics and sedatives drugs",M01AE,491800
KF852,"Psycholeptics drugs, Anxiolytic drugs",R06,935700
KF601,"Psycholeptics drugs, Anxiolytic drugs",N02BE/B,512000
KF548,"Other analgesics and antipyretics, Pyrazolones and Anilides",N05B,877500
KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",M01AB,906500
